gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
45,0.46190831100416174,9.31,8.58,0.136163199120799,7.0,-18,-12,8,-18,2014-11-16,8.06,7.48,7.95,7.52,14917548.0,2014-11-16,7.48,7.52,-39.0,,,8.6,,,4.95,,,-17.0,,,0.09040186160004711,,0.21469961438691776,,-3.0,,-39.0,,5.67,600539,45,14.095744680851062,45.00875656742556,,8.28,17.0,12.5,-17.0,10.14
63,0.9349345197490937,19.2,15.45,0.24777096145331454,8.28,17,13,17,17,2015-03-22,9.07,8.8,8.28,8.62,38693392.0,2015-03-22,8.8,8.62,-18.0,-39.0,,9.31,8.6,,7.0,4.95,,-12.0,-17.0,,0.136163199120799,0.09040186160004711,0.46190831100416174,0.21469961438691776,8.0,-3.0,-18.0,-39.0,7.48,600539,63,79.23433874709977,14.095744680851062,45.00875656742556,8.38,-17.0,17.74,28.0,14.99
80,1.0819093689904857,12.5,11.29,0.3124826809766194,8.38,-17,-11,-5,-17,2015-07-19,9.9,8.41,9.2,8.44,57959458.0,2015-07-19,8.41,8.44,17.0,-18.0,-39.0,19.2,9.31,8.6,8.28,7.0,4.95,13.0,-12.0,-17.0,0.24777096145331454,0.136163199120799,0.9349345197490937,0.46190831100416174,17.0,8.0,17.0,-18.0,8.8,600539,80,33.76777251184835,79.23433874709977,14.095744680851062,10.14,28.0,19.95,-12.0,
97,0.6266584307661536,17.74,17.08,0.17883304745583115,10.14,28,18,28,28,2015-11-15,12.34,11.66,11.48,11.48,19513444.0,2015-11-15,11.66,11.48,-17.0,17.0,-18.0,12.5,19.2,9.31,8.38,8.28,7.0,-11.0,13.0,-12.0,0.3124826809766194,0.24777096145331454,1.0819093689904857,0.9349345197490937,-5.0,17.0,-17.0,17.0,8.41,600539,97,48.78048780487803,33.76777251184835,79.23433874709977,14.99,-12.0,,,
125,0.33678714237948704,19.95,19.0,0.12070156133674582,14.99,-12,-2,12,-12,2017-01-15,16.28,14.99,16.28,15.58,8436801.0,2017-01-15,14.99,15.58,28.0,-17.0,17.0,17.74,12.5,19.2,10.14,8.38,8.28,18.0,-11.0,13.0,0.17883304745583115,0.3124826809766194,0.6266584307661536,1.0819093689904857,28.0,-5.0,28.0,-17.0,11.66,600539,125,21.95121951219512,48.78048780487803,33.76777251184835,,,,,
0,0.16874911033451695,3.37,3.18,0.041073843711523825,2.34,-28,-4,-4,-28,2014-01-05,2.45,2.39,2.44,2.41,12228058.0,2014-01-05,2.39,2.41,,,,,,,,,,,,,,,,,,,,,,600166,0,31.950207468879665,,,2.89,-7.0,6.34,16.0,2.79
56,0.1528639668909173,3.59,3.45,0.04374847210699525,2.89,-7,-3,7,-7,2015-02-01,3.15,2.99,3.05,3.0,180978218.0,2015-02-01,2.99,3.0,-28.0,,,3.37,,,2.34,,,-4.0,,,0.041073843711523825,,0.16874911033451695,,-4.0,,-28.0,,2.39,600166,56,15.000000000000014,31.950207468879665,,3.18,16.0,4.1,-18.0,2.5
63,0.4835344440556151,6.34,5.38,0.133170253448323,3.18,16,14,16,16,2015-03-22,3.81,3.61,3.47,3.53,432626237.0,2015-03-22,3.61,3.53,-7.0,-28.0,,3.59,3.37,,2.89,2.34,,-3.0,-4.0,,0.04374847210699525,0.041073843711523825,0.1528639668909173,0.16874911033451695,7.0,-4.0,-7.0,-28.0,2.99,600166,63,52.40793201133145,15.000000000000014,31.950207468879665,2.79,-18.0,3.72,11.0,2.23
79,1.0017344538977684,4.1,3.66,0.3011688227238861,2.79,-18,-10,-14,-18,2015-07-12,3.54,2.99,3.54,2.65,684278935.0,2015-07-12,2.99,2.65,16.0,-7.0,-28.0,6.34,3.59,3.37,3.18,2.89,2.34,14.0,-3.0,-4.0,0.133170253448323,0.04374847210699525,0.4835344440556151,0.1528639668909173,16.0,7.0,16.0,-7.0,3.61,600166,79,38.11320754716982,52.40793201133145,15.000000000000014,2.5,11.0,2.8,-9.0,2.46
97,0.2988620843084093,3.72,3.45,0.10521865793786887,2.5,11,5,-11,11,2015-11-15,3.72,3.48,3.45,3.45,488243798.0,2015-11-15,3.48,3.45,-18.0,16.0,-7.0,4.1,6.34,3.59,2.79,3.18,2.89,-10.0,14.0,-3.0,0.3011688227238861,0.133170253448323,1.0017344538977684,0.4835344440556151,-14.0,16.0,-18.0,16.0,2.99,600166,97,0.0,38.11320754716982,52.40793201133145,2.23,-9.0,3.0,26.0,2.71
