gpid,maxang,maxh,maxc,ang,minl,len,lenmcd,lendif,postrix,startdate,starth,startl,starto,startc,startv,lastdate,lastl,lastc,len1,len2,len3,maxh1,maxh2,maxh3,minl1,minl2,minl3,prlenmcd1,prlenmcd2,prlenmcd3,prang1,prang2,maxang1,maxang2,prlendif1,prlendif2,postrix1,postrix2,startl1,sn,refid,rat,prrat1,prrat2,fuminl1,fulen1,fumaxh2,fulen2,fuminl2
116,0.5768316257886524,20.3,19.3,0.18008889956264032,15.49,17,13,17,17,2016-04-10,16.48,15.49,16.06,15.8,31205420.0,2016-04-10,15.49,15.8,-8.0,12.0,-17.0,16.91,18.23,18.0,12.0,11.8,9.7,-4.0,6.0,-9.0,0.1523597033529403,0.26387816941784215,0.43995314470622304,0.9403107451138367,-6.0,6.0,-8.0,12.0,12.51,300021,116,22.151898734177223,27.2508038585209,8.763897972531076,16.68,-30.0,20.1,2.0,
133,0.31528911412226845,21.33,19.56,0.07233045555723167,16.68,-30,-16,18,-30,2016-08-07,17.29,16.75,16.81,16.82,10953880.0,2016-08-07,16.75,16.82,17.0,-8.0,12.0,20.3,16.91,18.23,15.49,12.0,11.8,13.0,-4.0,6.0,0.18008889956264032,0.1523597033529403,0.5768316257886524,0.43995314470622304,17.0,-6.0,17.0,-8.0,15.49,300021,133,16.29013079667061,22.151898734177223,27.2508038585209,17.96,2.0,,,
163,0.05704092803096788,20.1,19.41,0.023329344923316217,17.96,2,2,2,2,2017-03-26,20.1,19.25,19.5,19.41,26161376.0,2017-03-26,19.25,19.41,-30.0,17.0,-8.0,21.33,20.3,16.91,16.68,15.49,12.0,-16.0,13.0,-4.0,0.07233045555723167,0.18008889956264032,0.31528911412226845,0.5768316257886524,18.0,17.0,-30.0,17.0,16.75,300021,163,0.0,16.29013079667061,22.151898734177223,,,,,
0,1.4290323695410736,67.2,58.55,0.43555787749757074,11.83,-49,-29,-11,-49,2015-01-25,11.83,11.83,8.91,10.73,17561.0,2015-01-25,11.83,10.73,,,,,,,,,,,,,,,,,,,,,,300419,0,445.6663560111836,,,39.28,7.0,45.5,-22.0,28.42
49,0.3382157574636086,58.03,48.42,0.14064287002853168,39.28,7,-1,7,7,2016-04-24,58.03,45.39,53.55,48.42,10724817.0,2016-04-24,45.39,48.42,-49.0,,,67.2,,,11.83,,,-29.0,,,0.43555787749757074,,1.4290323695410736,,-11.0,,-49.0,,11.83,300419,49,0.0,445.6663560111836,,32.45,-22.0,41.13,6.0,24.6
56,0.34811703469023825,45.5,43.35,0.09367525424928749,32.45,-22,-16,-20,-22,2016-06-12,45.5,42.99,44.89,43.35,22056228.0,2016-06-12,42.99,43.35,7.0,-49.0,,58.03,67.2,,39.28,11.83,,-1.0,-29.0,,0.14064287002853168,0.43555787749757074,0.3382157574636086,1.4290323695410736,7.0,-11.0,7.0,-49.0,45.39,300419,56,0.0,0.0,445.6663560111836,28.42,6.0,30.5,-12.0,25.07
78,0.19004773466084268,41.13,38.04,0.06419271219151472,28.42,6,2,-6,6,2016-11-20,41.13,36.9,36.29,36.7,26037164.0,2016-11-20,36.9,36.7,-22.0,7.0,-49.0,45.5,58.03,67.2,32.45,39.28,11.83,-16.0,-1.0,-29.0,0.09367525424928749,0.14064287002853168,0.34811703469023825,0.3382157574636086,-20.0,7.0,-22.0,7.0,42.99,300419,78,3.6512261580381455,0.0,0.0,24.6,-12.0,28.08,2.0,
84,0.3667368576520441,30.5,28.47,0.12022853488043965,24.6,-12,-4,-12,-12,2017-01-01,29.3,28.18,28.4,28.46,6483911.0,2017-01-01,28.18,28.46,6.0,-22.0,7.0,41.13,45.5,58.03,28.42,32.45,39.28,2.0,-16.0,-1.0,0.06419271219151472,0.09367525424928749,0.19004773466084268,0.34811703469023825,-6.0,-20.0,6.0,-22.0,36.9,300419,84,0.035137034434296055,3.6512261580381455,0.0,25.07,2.0,,,
96,0.07805235284868739,28.08,27.02,0.026054026976352108,25.07,2,2,-2,2,2017-03-26,28.08,26.86,27.98,27.02,14135742.0,2017-03-26,26.86,27.02,-12.0,6.0,-22.0,30.5,41.13,45.5,24.6,28.42,32.45,-4.0,2.0,-16.0,0.12022853488043965,0.06419271219151472,0.3667368576520441,0.19004773466084268,-12.0,-6.0,-12.0,6.0,28.18,300419,96,0.0,0.035137034434296055,3.6512261580381455,,,,,
0,0.7321388164959322,25.89,23.74,0.1817799794404152,13.18,-34,-2,-10,-34,2014-01-05,16.54,16.17,16.46,16.47,1254897.0,2014-01-05,16.17,16.47,,,,,,,,,,,,,,,,,,,,,,300294,0,44.140862173649055,,,19.11,-13.0,37.53,9.0,30.35
50,0.4970877208412241,28.59,26.92,0.17699983808878647,19.11,-13,-3,13,-13,2015-01-04,21.49,19.11,21.49,19.1,2441730.0,2015-01-04,19.11,19.1,-34.0,,,25.89,,,13.18,,,-2.0,,,0.1817799794404152,,0.7321388164959322,,-10.0,,-34.0,,16.17,300294,50,40.94240837696334,44.140862173649055,,25.1,9.0,40.79,-2.0,37.38
63,0.47007741847764106,37.53,31.2,0.16366501907088551,25.1,9,1,9,9,2015-04-05,31.43,30.23,27.27,26.87,10257984.0,2015-04-05,30.23,26.87,-13.0,-34.0,,28.59,25.89,,19.11,13.18,,-3.0,-2.0,,0.17699983808878647,0.1817799794404152,0.4970877208412241,0.7321388164959322,13.0,-10.0,-13.0,-34.0,19.11,300294,63,16.11462597692592,40.94240837696334,44.140862173649055,30.35,-2.0,44.4,10.0,30.81
72,0.024748640202390426,40.79,33.55,0.016600664745895916,30.35,-2,2,2,-2,2015-10-11,31.78,30.35,30.44,30.77,9693393.0,2015-10-11,30.35,30.77,9.0,-13.0,-34.0,37.53,28.59,25.89,25.1,19.11,13.18,1.0,-3.0,-2.0,0.16366501907088551,0.17699983808878647,0.47007741847764106,0.4970877208412241,9.0,13.0,9.0,-13.0,30.23,300294,72,9.034774130646728,16.11462597692592,40.94240837696334,37.38,10.0,56.29,-18.0,52.26
74,0.5201875335180419,44.4,40.8,0.16512747582571877,37.38,10,6,10,10,2015-10-25,40.1,38.4,39.8,35.8,44195867.0,2015-10-25,38.4,35.8,-2.0,9.0,-13.0,40.79,37.53,28.59,30.35,25.1,19.11,2.0,1.0,-3.0,0.016600664745895916,0.16366501907088551,0.024748640202390426,0.47007741847764106,2.0,9.0,-2.0,9.0,30.35,300294,74,13.966480446927365,9.034774130646728,16.11462597692592,30.81,-18.0,74.24,17.0,49.75
84,0.5917156824365248,56.29,51.86,0.2056350697758914,30.81,-18,4,18,-18,2016-01-03,41.88,38.61,40.8,38.73,12248822.0,2016-01-03,38.61,38.73,10.0,-2.0,9.0,44.4,40.79,37.53,37.38,30.35,25.1,6.0,2.0,1.0,0.16512747582571877,0.016600664745895916,0.5201875335180419,0.024748640202390426,10.0,2.0,10.0,-2.0,38.4,300294,84,33.90136844823135,13.966480446927365,9.034774130646728,52.26,17.0,68.31,-26.0,60.17
