,len1,len2,len3,prlendif1,prlendif2,postrix1,postrix2,minl1,minl2,minl3,prrat1,prrat2,startdate,rat,len,sn,refid,maxang1,maxang2,maxh1,maxh2,maxh3
81330,-3.0,9.0,-16.0,-3.0,-9.0,3.0,3.0,11.13,12.13,10.38,12.85714285714288,12.561750176429065,2015-08-06,52.01863354037264,12,523,863,1.2587551633909408,10.673856862689778,13.04,16.76,22.49
82108,-7.0,14.0,-5.0,-7.0,-14.0,3.0,6.0,14.06,14.98,14.11,11.735769501054106,13.538461538461544,2016-03-09,0.0,-1,2488,502,2.506041675144244,9.58091191562406,16.41,18.88,17.97
82764,-3.0,14.0,-21.0,-3.0,-14.0,3.0,8.0,13.89,14.54,14.14,12.328767123287655,14.530456852791884,2016-03-03,0.0,6,2339,514,2.6351376372375066,8.777301727585726,16.63,18.43,25.43
83130,-2.0,9.0,-18.0,-2.0,-9.0,2.0,-1.0,17.56,19.13,19.78,9.328782707622297,8.250676284941406,2008-04-24,53.2350142721218,17,960,1929,0.6745522327264799,6.964920057383791,19.22,24.39,37.43
83732,-3.0,14.0,-4.0,-3.0,-14.0,3.0,8.0,4.11,4.27,4.12,9.669811320754727,11.261261261261255,2016-03-03,27.021276595744673,34,859,1058,0.3972133384752979,1.7392086813309453,4.68,4.97,4.53
84715,-3.0,13.0,-5.0,-3.0,-13.0,3.0,9.0,6.87,7.19,6.96,8.89526542324246,12.059620596205955,2016-03-03,0.359281437125758,6,2648,504,0.8193924897928865,2.551493143798792,7.64,8.35,7.53
85138,-4.0,14.0,-3.0,-4.0,-14.0,4.0,6.0,5.31,5.69,5.8,9.426987060998137,10.200668896321051,2016-03-04,20.379965457685657,33,862,930,0.6347006054492925,2.209943699025462,6.08,6.64,6.8
86187,-3.0,15.0,6.0,-3.0,-17.0,3.0,11.0,12.48,13.53,13.48,16.059479553903348,20.625000000000004,2016-03-04,38.076416337285906,15,2618,523,3.0560589411061545,6.047885619646737,15.61,17.9,17.19
87023,-7.0,15.0,-2.0,-7.0,-15.0,1.0,11.0,5.56,5.8,5.66,4.728546409807356,8.589951377633719,2016-03-10,33.10344827586207,30,2109,368,0.7147015300981967,2.047863266541636,6.0,6.78,6.06
87692,-4.0,13.0,-32.0,-4.0,-13.0,4.0,1.0,20.13,21.63,18.89,10.084033613445364,21.454254894127047,2015-08-07,19.04127829560585,11,626,882,2.1658094616540358,20.51332095520325,23.33,31.68,58.08
87694,-2.0,11.0,-4.0,-2.0,-11.0,2.0,11.0,19.33,20.95,20.13,10.076408787010504,19.04127829560585,2016-02-17,45.200486026731475,16,626,895,2.381427034520732,14.499858107033234,23.61,27.57,23.33
88157,-3.0,13.0,-19.0,-3.0,-13.0,3.0,3.0,13.01,13.82,10.86,16.005983545250558,24.869791666666675,2015-08-06,43.0171277997365,12,722,758,2.4889928026620463,13.275277612622267,15.87,19.5,31.05
88822,-2.0,13.0,-4.0,-2.0,-13.0,2.0,9.0,11.99,12.49,11.74,10.114192495921692,9.80392156862746,2016-03-02,24.81506388702084,18,2108,521,1.1948879362185925,3.869447565815821,13.5,14.8,13.42
89556,-6.0,13.0,-5.0,-6.0,-13.0,2.0,9.0,3.56,3.76,3.57,8.241758241758234,9.898477157360409,2016-03-08,29.048843187660648,36,2495,521,0.5818945082177246,1.3636615690406475,4.01,4.39,4.13
89613,-5.0,13.0,-3.0,-5.0,-13.0,1.0,9.0,12.95,14.47,13.82,4.308547602501721,10.24617431803061,2016-03-04,25.39473684210527,15,2365,527,4.2676984203775445,5.0217539693876505,15.52,16.65,14.85
92036,-5.0,14.0,-22.0,-5.0,-14.0,3.0,8.0,28.47,30.35,23.08,1.1428571428571344,17.550655542312278,2015-08-07,7.424522489217478,9,156,1954,5.296549370061447,26.47599477242816,32.84,40.72,60.97
92040,-6.0,8.0,-8.0,-6.0,-8.0,2.0,2.0,23.47,24.98,21.65,13.248945147679336,12.427953890489915,2015-09-23,29.72243639167309,17,156,1985,4.325284749366843,13.721578638567356,27.44,33.47,32.29
92253,-4.0,12.0,-23.0,-4.0,-12.0,4.0,8.0,2.17,2.24,2.18,8.558558558558559,13.53711790393013,2016-03-04,6.866952789699576,8,683,945,0.310855434536046,0.75383919850421,2.46,2.65,3.09
92440,-6.0,12.0,-21.0,-6.0,-12.0,2.0,4.0,12.33,13.51,11.75,1.7033356990773685,7.16845878136203,2015-08-07,12.558450233800931,9,2376,334,2.9094597734268475,10.179704118424374,15.27,18.2,29.31
92520,-6.0,14.0,-2.0,-6.0,-14.0,4.0,10.0,7.24,7.71,7.64,12.567567567567561,11.707317073170742,2016-03-08,20.500000000000007,28,2651,487,1.3733572014465971,3.550241396155688,8.42,9.22,8.13
92949,-4.0,13.0,-25.0,-4.0,-13.0,4.0,5.0,11.56,12.23,9.36,6.386292834890961,14.131897711978471,2015-08-06,13.184438040345814,11,2332,374,2.51489810912984,13.750024708979199,13.99,17.38,28.9
92962,-4.0,14.0,-3.0,-4.0,-14.0,4.0,10.0,9.19,9.87,9.5,12.263210368893331,11.034482758620689,2016-03-03,3.1386224934611966,9,2332,511,1.5221935057710183,3.856597629589793,11.26,11.34,10.26
