,0
220,"SH600398,SW:140,up[9-3]_Wupoutout,SD:411,up[3-2]_Dupinin"
221,"SH600547,SW:141,up[2-1]_Wupoutout,SD:411,up[1-6]_Dupoutout"
222,"SH600020,SW:230,do[2-2]_Wdooutout,SD:240,do[2-5]_Ddooutout"
223,"SH600645,SW:411,up[4-7]_Wupinin,SD:421,up[2-2]_Dupoutout"
224,"SH601010,SW:411,up[12-2]_Wupinin,SD:411,up[3-8]_Dupoutout"
225,"SH603309,SW:410,up[4-1]_Wupinin,SD:240,do[7-4]_Ddooutout"
226,"SH603006,SW:240,up[12-1]_Wupoutout,SD:141,up[3-9]_Dupoutout"
227,"SH603663,SW:140,up[9-3]_Wupoutout,SD:411,up[3-8]_Dupoutout"
228,"SH601318,SW:321,up[4-1]_Wupoutout,SD:230,up[3-1]_Dupoutout"
229,"SH600468,SW:141,up[3-3]_Wupoutout,SD:411,do[5-3]_Ddoinin"
230,"SH600208,SW:421,do[6-1]_Wdooutout,SD:421,do[4-5]_Ddooutout"
231,"SH600831,SW:140,up[10-3]_Wupoutout,SD:241,up[2-2]_Dupoutout"
232,"SH603077,SW:140,up[3-1]_Wupoutout,SD:241,up[1-1]_Dupoutout"
233,"SH600249,SW:140,up[12-3]_Wupoutout,SD:411,up[1-3]_Dupoutin"
234,"SH600219,SW:230,do[3-2]_Wdooutout,SD:240,up[2-2]_Dupoutout"
235,"SH600808,SW:230,do[4-2]_Wdooutout,SD:140,up[11-2]_Dupoutout"
236,"SH600707,SW:140,up[9-3]_Wupoutout,SD:411,do[6-4]_Ddooutin"
237,"SH600518,SW:230,do[5-5]_Wdooutout,SD:230,do[5-6]_Ddooutout"
238,"SH600300,SW:140,up[5-3]_Wupoutout,SD:411,up[3-2]_Dupinin"
239,"SH600501,SW:411,up[9-6]_Wupoutout,SD:411,up[4-3]_Dupinin"
240,"SH601599,SW:411,up[3-5]_Wupinin,SD:320,do[3-2]_Ddooutout"
241,"SH600573,SW:141,up[1-3]_Wupoutout,SD:411,do[6-2]_Ddoinin"
242,"SH601555,SW:140,do[2-4]_Wdooutout,SD:140,up[3-1]_Dupoutout"
243,"SH603198,SW:140,up[5-3]_Wupoutout,SD:411,up[3-1]_Dupinin"
244,"SH600399,SW:140,up[1-4]_Wupoutout,SD:410,do[3-7]_Ddoinin"
245,"SH600081,SW:140,up[9-2]_Wupoutout,SD:411,up[2-2]_Dupinin"
246,"SH600236,SW:140,do[3-13]_Wdooutout,SD:241,up[5-5]_Dupoutout"
247,"SH600248,SW:240,do[10-2]_Wdooutout,SD:140,do[9-7]_Ddoinout"
248,"SH600223,SW:140,up[10-4]_Wupoutout,SD:411,up[8-3]_Dupoutout"
249,"SH600185,SW:240,do[4-1]_Wdooutout,SD:411,do[6-2]_Ddooutin"
