,0
94,"SH880916,SW:140,up[11-2]_Wupoutout,SD:411,do[6-3]_Ddooutin"
95,"SH880400,SW:320,do[11-8]_Wdooutout,SD:231,do[9-3]_Ddooutout"
96,"SH880524,SW:230,do[3-8]_Wdooutout,SD:241,do[6-4]_Ddooutout"
97,"SH880829,SW:230,do[2-3]_Wdooutout,SD:240,up[7-1]_Dupoutout"
98,"SH880576,SW:230,do[2-8]_Wdooutout,SD:240,up[4-8]_Dupoutout"
99,"SH880586,SW:140,up[10-3]_Wupoutout,SD:241,do[6-2]_Ddooutout"
100,"SH880923,SW:140,up[6-3]_Wupoutout,SD:411,do[2-1]_Ddoinin"
101,"SH880937,SW:140,do[1-1]_Wdooutout,SD:241,do[4-4]_Ddooutout"
102,"SH880941,SW:421,up[7-1]_Wupoutout,SD:321,do[1-2]_Ddooutout"
103,"SH880465,SW:230,do[3-7]_Wdooutout,SD:240,do[8-3]_Ddooutout"
104,"SH880594,SW:230,do[4-6]_Wdooutout,SD:240,do[1-2]_Ddooutout"
105,"SH880230,SW:411,up[10-3]_Wupoutin,SD:411,do[1-2]_Ddoinin"
106,"SH880564,SW:321,up[5-1]_Wupoutout,SD:321,do[4-3]_Ddooutout"
107,"SH880414,SW:140,do[2-1]_Wdooutout,SD:141,do[5-4]_Ddooutout"
108,"SH880521,SW:140,up[7-6]_Wupoutout,SD:411,up[4-9]_Dupoutout"
109,"SH880591,SW:240,do[2-8]_Wdoinout,SD:240,do[3-2]_Ddooutout"
110,"SH880220,SW:230,up[6-3]_Wupoutout,SD:411,do[7-3]_Ddooutout"
111,"SH880522,SW:230,up[5-1]_Wupoutout,SD:411,do[9-3]_Ddooutout"
112,"SH880209,SW:140,up[6-2]_Wupoutout,SD:411,do[6-2]_Ddooutin"
113,"SH880578,SW:230,do[2-3]_Wdooutout,SD:240,do[2-2]_Ddooutout"
114,"SH880940,SW:240,do[2-1]_Wdooutout,SD:241,do[4-5]_Ddooutout"
115,"SH880806,SW:320,do[5-8]_Wdooutout,SD:231,do[8-3]_Ddooutout"
116,"SH880824,SW:140,up[11-3]_Wupoutout,SD:141,do[8-1]_Ddooutout"
117,"SH880809,SW:140,up[11-2]_Wupoutout,SD:411,do[8-1]_Ddooutin"
118,"SH880854,SW:321,up[5-9]_Wupoutout,SD:320,do[6-3]_Ddooutout"
119,"SH880211,SW:230,do[3-1]_Wdooutout,SD:411,do[4-4]_Ddoinin"
120,"SH880222,SW:230,do[3-2]_Wdooutout,SD:141,do[4-3]_Ddooutout"
121,"SH880864,SW:111,do[3-1]_Wdoinin,SD:141,do[3-2]_Ddoinout"
122,"SH880505,SW:230,do[4-1]_Wdooutout,SD:411,up[5-7]_Dupoutout"
123,"SH880599,SW:230,up[7-1]_Wupoutout,SD:411,do[7-5]_Ddooutout"
124,"SH880931,SW:230,do[3-8]_Wdooutout,SD:241,do[6-4]_Ddooutout"
125,"SH880835,SW:321,up[5-1]_Wupoutout,SD:231,do[5-3]_Ddooutout"
126,"SH880925,SW:230,do[3-2]_Wdooutout,SD:140,up[3-2]_Dupoutout"
127,"SH880503,SW:230,do[1-1]_Wdooutout,SD:240,do[3-4]_Ddooutout"
128,"SH880556,SW:140,up[10-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
129,"SH880869,SW:111,up[10-3]_Wupinin,SD:141,do[7-2]_Ddooutout"
130,"SH880560,SW:140,do[1-6]_Wdoinout,SD:241,up[3-3]_Dupoutout"
131,"SH880850,SW:230,do[4-1]_Wdooutout,SD:140,do[3-5]_Ddooutout"
132,"SH880836,SW:140,up[11-2]_Wupoutout,SD:141,up[3-1]_Dupoutout"
133,"SH880906,SW:421,up[11-1]_Wupoutout,SD:421,do[8-2]_Ddooutout"
134,"SH880566,SW:140,up[7-2]_Wupoutout,SD:241,do[6-4]_Ddooutout"
135,"SH880534,SW:230,up[11-2]_Wupoutout,SD:241,do[6-3]_Ddooutout"
136,"SH880573,SW:230,do[4-1]_Wdooutout,SD:411,up[5-7]_Dupoutout"
137,"SH880217,SW:230,up[9-5]_Wupoutout,SD:411,up[2-2]_Dupoutin"
138,"SH880535,SW:230,do[4-1]_Wdooutout,SD:141,up[2-2]_Dupoutout"
139,"SH880860,SW:140,up[12-2]_Wupoutout,SD:141,do[8-2]_Ddooutout"
140,"SH880911,SW:230,do[2-2]_Wdooutout,SD:141,up[1-1]_Dupoutout"
141,"SH880833,SW:140,up[11-3]_Wupoutout,SD:411,do[6-2]_Ddooutin"
142,"SH880808,SW:420,do[3-8]_Wdooutout,SD:230,do[2-5]_Ddooutout"
143,"SH880305,SW:240,do[1-6]_Wdooutout,SD:141,up[3-2]_Dupoutout"
144,"SH880834,SW:140,up[10-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
145,"SH880597,SW:410,do[1-8]_Wdoinin,SD:240,do[1-2]_Ddooutout"
146,"SH880537,SW:240,up[4-2]_Wupoutout,SD:141,do[6-4]_Ddooutout"
147,"SH880213,SW:230,up[10-3]_Wupoutout,SD:411,do[7-1]_Ddooutin"
148,"SH880529,SW:230,up[4-2]_Wupoutout,SD:241,up[3-9]_Dupoutout"
149,"SH880837,SW:411,up[2-3]_Wupinin,SD:411,do[7-2]_Ddooutin"
150,"SH880418,SW:140,up[10-3]_Wupoutout,SD:411,do[8-1]_Ddooutin"
151,"SH880519,SW:230,do[1-1]_Wdooutout,SD:241,up[4-8]_Dupoutout"
152,"SH880858,SW:230,do[1-6]_Wdooutout,SD:241,do[7-3]_Ddooutout"
153,"SH880523,SW:230,up[10-3]_Wupoutout,SD:411,up[1-1]_Dupinin"
154,"SH880823,SW:140,up[10-3]_Wupoutout,SD:411,up[1-3]_Dupoutin"
155,"SH880351,SW:230,up[9-4]_Wupoutout,SD:411,up[3-8]_Dupoutout"
156,"SH880600,SW:411,up[1-2]_Wupinin,SD:411,up[5-7]_Dupoutout"
157,"SH880553,SW:140,up[10-3]_Wupoutout,SD:411,up[2-4]_Dupoutin"
158,"SH880218,SW:320,do[1-8]_Wdooutout,SD:230,do[7-3]_Ddooutout"
159,"SH880548,SW:240,up[7-2]_Wupoutout,SD:241,do[8-2]_Ddooutout"
160,"SH880589,SW:421,do[1-6]_Wdooutout,SD:230,do[11-4]_Ddooutout"
161,"SH880905,SW:140,up[8-3]_Wupoutout,SD:141,do[1-2]_Ddoinout"
162,"SH880579,SW:411,up[5-3]_Wupinin,SD:411,do[7-1]_Ddooutin"
163,"SH880935,SW:140,do[1-6]_Wdoinout,SD:240,up[4-1]_Dupoutout"
164,"SH880473,SW:321,do[6-5]_Wdooutout,SD:230,up[3-1]_Dupoutout"
165,"SH880530,SW:421,up[4-1]_Wupoutout,SD:231,do[9-3]_Ddooutout"
166,"SH880936,SW:411,do[5-5]_Wdoinin,SD:230,do[7-4]_Ddooutout"
167,"SH880208,SW:140,up[11-2]_Wupoutout,SD:411,up[2-10]_Dupoutout"
168,"SH880464,SW:140,do[1-1]_Wdooutout,SD:241,do[1-2]_Ddooutout"
169,"SH880928,SW:240,do[10-8]_Wdooutout,SD:240,do[7-3]_Ddooutout"
170,"SH880489,SW:411,up[8-2]_Wupinin,SD:241,do[7-1]_Ddooutout"
171,"SH880511,SW:230,do[6-10]_Wdooutout,SD:241,do[9-3]_Ddooutout"
172,"SH880574,SW:230,do[3-8]_Wdooutout,SD:240,do[8-4]_Ddooutout"
173,"SH880851,SW:411,up[8-2]_Wupinin,SD:241,do[5-4]_Ddooutout"
174,"SH880399,SW:230,up[4-2]_Wupoutout,SD:411,up[1-3]_Dupoutout"
175,"SH880507,SW:140,up[7-3]_Wupoutout,SD:411,do[7-2]_Ddooutin"
176,"SH880547,SW:411,up[7-3]_Wupinin,SD:411,do[6-2]_Ddooutin"
177,"SH880912,SW:141,up[11-3]_Wupoutout,SD:411,do[1-2]_Ddoinin"
178,"SH880596,SW:140,up[6-2]_Wupoutout,SD:141,do[1-2]_Ddoinout"
179,"SH880544,SW:320,up[7-1]_Wupoutout,SD:231,do[10-2]_Ddooutout"
180,"SH880565,SW:140,up[4-2]_Wupinout,SD:241,do[8-1]_Ddooutout"
181,"SH880446,SW:140,up[11-2]_Wupoutout,SD:241,do[8-2]_Ddooutout"
182,"SH880390,SW:230,up[8-1]_Wupoutout,SD:241,do[7-3]_Ddooutout"
183,"SH880865,SW:120,do[1-6]_Wdoinout,SD:230,do[4-2]_Ddooutout"
184,"SH880454,SW:140,up[7-3]_Wupoutout,SD:411,up[1-3]_Dupinin"
185,"SH880542,SW:240,do[3-1]_Wdooutout,SD:411,do[4-5]_Ddooutin"
186,"SH880201,SW:140,up[11-3]_Wupoutout,SD:411,do[2-1]_Ddoinin"
187,"SH880913,SW:230,up[5-1]_Wupoutout,SD:241,do[8-3]_Ddooutout"
188,"SH880536,SW:421,up[4-2]_Wupoutout,SD:321,do[9-2]_Ddooutout"
189,"SH880372,SW:321,up[5-1]_Wupoutout,SD:321,do[10-2]_Ddooutout"
190,"SH880203,SW:140,up[8-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
191,"SH880432,SW:421,do[3-1]_Wdooutout,SD:230,up[8-3]_Dupoutout"
192,"SH880861,SW:140,do[2-1]_Wdooutout,SD:241,do[4-5]_Ddooutout"
193,"SH880516,SW:240,up[11-3]_Wupoutout,SD:411,do[6-2]_Ddooutin"
194,"SH880513,SW:230,up[5-3]_Wupoutout,SD:411,do[5-3]_Ddooutin"
195,"SH880907,SW:421,up[4-2]_Wupoutout,SD:231,do[13-3]_Ddooutout"
196,"SH880826,SW:230,do[1-4]_Wdooutout,SD:230,up[5-1]_Dupoutout"
197,"SH880224,SW:230,do[1-1]_Wdooutout,SD:240,up[3-1]_Dupoutout"
198,"SH880476,SW:230,do[1-3]_Wdooutout,SD:140,up[5-1]_Dupoutout"
199,"SH880946,SW:111,up[10-3]_Wupinin,SD:411,do[7-2]_Ddooutin"
200,"SH880588,SW:230,do[1-6]_Wdooutout,SD:241,do[11-4]_Ddooutout"
201,"SH880867,SW:111,up[2-3]_Wupinin,SD:141,do[2-2]_Ddooutout"
202,"SH880857,SW:230,up[7-1]_Wupoutout,SD:231,do[7-3]_Ddooutout"
203,"SH880223,SW:230,up[5-1]_Wupoutout,SD:321,do[9-3]_Ddooutout"
204,"SH880559,SW:321,do[2-5]_Wdooutout,SD:230,do[9-3]_Ddooutout"
205,"SH880387,SW:321,up[4-1]_Wupoutout,SD:321,up[1-1]_Dupoutout"
206,"SH880580,SW:230,up[3-2]_Wupoutout,SD:241,do[1-2]_Ddooutout"
207,"SH880904,SW:320,do[1-6]_Wdooutout,SD:231,do[5-3]_Ddooutout"
208,"SH880932,SW:140,up[6-2]_Wupoutout,SD:411,do[9-1]_Ddooutin"
209,"SH880582,SW:140,up[12-2]_Wupoutout,SD:241,do[8-2]_Ddooutout"
210,"SH880525,SW:240,do[3-6]_Wdooutout,SD:240,up[3-3]_Dupoutout"
211,"SH880456,SW:230,up[6-3]_Wupoutout,SD:411,do[7-2]_Ddooutin"
212,"SH880490,SW:421,do[2-5]_Wdooutout,SD:231,do[9-3]_Ddooutout"
213,"SH880592,SW:140,up[11-2]_Wupoutout,SD:411,do[5-4]_Ddooutin"
214,"SH880909,SW:240,up[10-2]_Wupoutout,SD:411,up[1-10]_Dupoutout"
215,"SH880423,SW:140,up[4-2]_Wupoutout,SD:411,up[2-11]_Dupoutout"
216,"SH880583,SW:140,up[5-1]_Wupoutout,SD:241,do[7-3]_Ddooutout"
217,"SH880929,SW:421,do[2-5]_Wdooutout,SD:230,do[7-3]_Ddooutout"
218,"SH880440,SW:140,up[11-2]_Wupoutout,SD:241,do[2-1]_Ddooutout"
219,"SH880355,SW:230,up[9-1]_Wupoutout,SD:241,up[2-3]_Dupoutout"
220,"SH880330,SW:321,up[2-6]_Wupoutout,SD:321,up[6-7]_Dupoutout"
221,"SH880545,SW:411,up[8-2]_Wupinin,SD:241,do[8-3]_Ddooutout"
222,"SH880228,SW:230,up[4-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
223,"SH880947,SW:140,do[1-1]_Wdooutout,SD:241,do[6-2]_Ddooutout"
224,"SH880474,SW:140,up[6-1]_Wupoutout,SD:141,do[6-5]_Ddooutout"
225,"SH880945,SW:320,do[1-6]_Wdooutout,SD:230,do[11-4]_Ddooutout"
226,"SH880575,SW:140,up[10-3]_Wupoutout,SD:411,up[4-9]_Dupoutout"
227,"SH880587,SW:230,up[11-2]_Wupoutout,SD:411,do[9-6]_Ddooutin"
228,"SH880448,SW:230,do[1-6]_Wdooutout,SD:231,do[4-4]_Ddooutout"
229,"SH880562,SW:140,up[2-2]_Wupoutout,SD:141,do[9-1]_Ddooutout"
230,"SH880868,SW:140,up[9-5]_Wupinout,SD:411,do[5-3]_Ddooutin"
231,"SH880214,SW:240,up[9-4]_Wupoutout,SD:411,up[1-4]_Dupinin"
232,"SH880318,SW:230,do[5-2]_Wdooutout,SD:240,up[2-2]_Dupoutout"
233,"SH880533,SW:140,up[7-3]_Wupoutout,SD:411,do[7-1]_Ddooutin"
234,"SH880902,SW:230,up[4-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
235,"SH880557,SW:421,do[2-8]_Wdooutout,SD:231,do[9-4]_Ddooutout"
236,"SH880367,SW:140,up[9-3]_Wupoutout,SD:411,do[2-1]_Ddoinin"
237,"SH880585,SW:240,up[5-4]_Wupoutout,SD:411,do[2-6]_Ddoinin"
238,"SH880455,SW:140,up[10-3]_Wupoutout,SD:411,up[3-8]_Dupoutout"
239,"SH880421,SW:140,up[6-2]_Wupoutout,SD:241,do[2-1]_Ddooutout"
240,"SH880551,SW:140,up[10-3]_Wupoutout,SD:241,do[6-3]_Ddooutout"
241,"SH880422,SW:140,up[9-2]_Wupoutout,SD:411,up[3-1]_Dupinin"
242,"SH880849,SW:230,do[1-6]_Wdooutout,SD:241,do[11-4]_Ddooutout"
243,"SH880942,SW:230,up[7-2]_Wupoutout,SD:241,do[12-4]_Ddooutout"
244,"SH880862,SW:230,do[3-2]_Wdooutout,SD:240,up[7-1]_Dupoutout"
245,"SH880944,SW:230,up[8-1]_Wupoutout,SD:241,do[8-4]_Ddooutout"
246,"SH880595,SW:230,up[4-2]_Wupoutout,SD:241,do[6-4]_Ddooutout"
247,"SH880901,SW:411,do[5-1]_Wdoinin,SD:231,do[6-2]_Ddooutout"
248,"SH880541,SW:230,do[2-9]_Wdooutout,SD:240,do[10-5]_Ddooutout"
249,"SH880917,SW:140,do[3-4]_Wdooutout,SD:241,do[3-2]_Ddooutout"
250,"SH880526,SW:230,do[1-5]_Wdooutout,SD:230,do[8-4]_Ddooutout"
251,"SH880866,SW:111,do[2-1]_Wdoinin,SD:411,do[5-4]_Ddooutin"
252,"SH880933,SW:411,up[10-3]_Wupinin,SD:411,do[1-2]_Ddoinin"
253,"SH880226,SW:230,up[8-2]_Wupoutout,SD:241,do[7-3]_Ddooutout"
254,"SH880227,SW:230,up[6-2]_Wupoutout,SD:411,up[3-8]_Dupoutout"
255,"SH880527,SW:321,do[2-5]_Wdooutout,SD:230,up[2-1]_Dupoutout"
256,"SH880844,SW:230,up[8-2]_Wupoutout,SD:141,do[8-3]_Ddooutout"
257,"SH880202,SW:240,up[5-3]_Wupoutout,SD:411,do[5-2]_Ddooutin"
258,"SH880520,SW:240,up[11-2]_Wupoutout,SD:241,do[1-2]_Ddooutout"
259,"SH880212,SW:230,up[7-1]_Wupoutout,SD:231,do[7-3]_Ddooutout"
260,"SH880807,SW:140,up[6-2]_Wupoutout,SD:411,up[4-8]_Dupoutout"
